"","Timepoint","Mouse"
"MOUSE_CELL_1601","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1603","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1606","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1609","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1617","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1620","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1622","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1624","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1634","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1636","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1642","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1644","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1646","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1647","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1649","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1656","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1658","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1671","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1681","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1684","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1687","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1689","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1691","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1692","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1693","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1708","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1734","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1737","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1748","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1751","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1752","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1754","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1755","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1756","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1760","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1761","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1767","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1771","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1773","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1778","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1782","uninjured","uninjured_mouse_id_55"
