gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
SAT11,3.84993268431413E-58,0.476406221612779,0.751,0.63,1.83591739916888E-53,2
GNAS,3.76313361845997E-58,0.556839872889969,0.515,0.312,1.79452552863501E-53,3
SERBP1,3.28552996576623E-58,0.940605161204001,0.292,0.14,1.56677067477494E-53,3
CPEB41,2.74029844155136E-58,0.695584067366829,0.313,0.134,1.3067661178226E-53,5
HLA-DQA11,2.73228752981146E-58,2.07733072363499,0.308,0.091,1.30294595434119E-53,7
TTC3,2.56681668722632E-58,0.808351721397866,0.253,0.12,1.22403787363761E-53,1
EIF4A1,1.46063500442462E-58,0.612767020485392,0.326,0.146,6.9653301455997E-54,4
TRIM56,1.31045548258581E-58,0.546139765196404,0.296,0.147,6.24916905980694E-54,1
LCP13,1.29175880988675E-58,2.20289572069992,0.694,0.16,6.16001023670695E-54,8
ETS12,1.24084652279686E-58,1.97309028364455,0.305,0.15,5.91722481326141E-54,6
ARGLU12,1.13711648919263E-58,0.559007028860888,0.566,0.311,5.42256740201288E-54,5
CLTA,9.52019719295491E-59,1.57646474471528,0.269,0.138,4.53989643540441E-54,2
IFI163,6.24451520701918E-59,0.421453387648422,0.465,0.231,2.97782196677123E-54,5
ARL4C1,6.17716813260768E-59,2.37751106618808,0.304,0.091,2.94570616739662E-54,7
XIST2,4.97511407701768E-59,0.598448190303321,0.452,0.228,2.37248264990742E-54,5
HSPA1B1,4.60998875281822E-59,0.705182562335762,0.398,0.192,2.19836533655642E-54,4
LIG1,4.30890144904369E-59,2.15941737706243,0.306,0.033,2.05478583400546E-54,8
EWSR11,2.30564345830075E-59,0.501600839941325,0.42,0.206,1.09949219595988E-54,4
YTHDC1,2.10113367298217E-59,0.408969183068851,0.373,0.173,1.00196761463501E-54,4
RPLP0,1.53807260289842E-59,0.708080876505673,0.256,0.101,7.33460682144169E-55,4
DDX24,1.12708043882249E-59,0.598322303190199,0.321,0.142,5.37470848861279E-55,4
TNFRSF1B1,1.04025434236076E-59,2.23865461694658,0.279,0.076,4.96066088241578E-55,7
CCR1,5.11041547986655E-60,2.39412578576464,0.266,0.025,2.43700382988396E-55,8
BST2,3.79610216946284E-60,0.799194642712231,0.257,0.098,1.81024724155174E-55,5
WFDC21P3,3.32748612965589E-60,3.26643868337031,0.739,0.198,1.586778310649E-55,10
NME1,3.00331356897768E-60,2.27073269158154,0.379,0.049,1.43219014163839E-55,8
HSPA1B2,2.86696836851373E-60,1.8618718304301,0.484,0.202,1.36717120589314E-55,7
HSP90AA12,2.66064082604805E-60,1.38711084201627,0.838,0.651,1.26877979071753E-55,7
LYN1,2.2314274633468E-60,1.71566172604844,0.387,0.13,1.06410081444619E-55,7
ALYREF,2.21572148237165E-60,2.6703879565987,0.419,0.06,1.05661110329857E-55,8
TPM4,1.9370624852366E-60,0.990022454609462,0.263,0.117,9.23726987334775E-56,3
USP1,8.29087090196401E-61,2.34609268296772,0.435,0.063,3.95366760701958E-56,8
EIF3K,8.09689359398503E-61,0.596618993505006,0.293,0.123,3.86116564816364E-56,4
CLIP11,7.3439820394918E-61,0.478918518026795,0.411,0.191,3.50212471517246E-56,5
WSB1,6.90309894695591E-61,1.14803138168678,0.261,0.116,3.29188079483486E-56,3
ENSA,6.11515713193393E-61,0.615004681575704,0.312,0.135,2.91613498150533E-56,4
